text,category
"Cepat, butuh ambulans! Ada korban serangan jantung dekat Monas.",Medis
Seseorang butuh pertolongan medis karena pingsan tidak sadarkan diri di Stasiun Manggarai.,Medis
"Lapor, ada insiden penjambretan di Stasiun Manggarai.",Kriminal
Darurat! Api melalap gedung perkantoran dekat Monas.,Kebakaran
Waspada! Terjadi penjambretan di Jalan Sudirman.,Kriminal
Seseorang butuh pertolongan medis karena pendarahan hebat dekat Monas.,Medis
"Cepat, butuh ambulans! Ada korban serangan jantung kawasan SCBD.",Medis
Darurat! Api melalap rumah tinggal di Stasiun Manggarai.,Kebakaran
Lapor! Terjadi korsleting listrik di Jalan Sudirman.,Kebakaran
"Saya baru saja melihat perampokan toko di gedung perkantoran dekat Monas, pelakunya kabur.",Kriminal
Waspada! Terjadi pencurian dengan kekerasan dekat Monas.,Kriminal
Darurat! Api melalap mobil sedan silver di Mall Grand Indonesia.,Kebakaran
"Tolong, ada yang kecelakaan motor di rumah tinggal di Apartemen Green Pramuka.",Medis
"Saya baru saja melihat pencurian dengan kekerasan di mobil sedan silver di Stasiun Manggarai, pelakunya kabur.",Kriminal
Waspada! Terjadi perampokan toko di Stasiun Manggarai.,Kriminal
Darurat! Api melalap gedung perkantoran dekat Monas.,Kebakaran
Seseorang butuh pertolongan medis karena pingsan tidak sadarkan diri di Stasiun Manggarai.,Medis
"Tolong, ada yang pendarahan hebat di rumah tinggal dekat Monas.",Medis
"Saya baru saja melihat perampokan toko di warung kelontong di Apartemen Green Pramuka, pelakunya kabur.",Kriminal
Waspada! Terjadi penjambretan di Stasiun Manggarai.,Kriminal
Seseorang butuh pertolongan medis karena kesulitan bernapas di Apartemen Green Pramuka.,Medis
Waspada! Terjadi penjambretan di Jalan Sudirman.,Kriminal
Waspada! Terjadi pencurian dengan kekerasan kawasan SCBD.,Kriminal
"Tolong, ada yang kecelakaan motor di warung kelontong di Mall Grand Indonesia.",Medis
"Lapor, ada insiden pencurian dengan kekerasan dekat Monas.",Kriminal
"Lapor, ada insiden perampokan toko di Mall Grand Indonesia.",Kriminal
"Lapor, ada insiden perampokan toko kawasan SCBD.",Kriminal
"Lapor, ada insiden pencurian dengan kekerasan di Mall Grand Indonesia.",Kriminal
"Lapor, ada insiden pencurian dengan kekerasan di Mall Grand Indonesia.",Kriminal
"Tolong, ada kebakaran hebat di dekat Monas, korbannya di dalam mobil sedan silver.",Kebakaran
"Lapor, ada insiden perampokan toko di Apartemen Green Pramuka.",Kriminal
"Cepat, butuh ambulans! Ada korban pendarahan hebat di Jalan Sudirman.",Medis
"Tolong, ada ledakan tabung gas di di Mall Grand Indonesia, korbannya di dalam mobil sedan silver.",Kebakaran
"Cepat, butuh ambulans! Ada korban serangan jantung dekat Monas.",Medis
Seseorang butuh pertolongan medis karena pendarahan hebat kawasan SCBD.,Medis
Darurat! Api melalap gedung perkantoran di Jalan Sudirman.,Kebakaran
Seseorang butuh pertolongan medis karena serangan jantung di Mall Grand Indonesia.,Medis
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri kawasan SCBD.",Medis
Darurat! Api melalap mobil sedan silver di Apartemen Green Pramuka.,Kebakaran
Darurat! Api melalap rumah tinggal kawasan SCBD.,Kebakaran
"Lapor, ada insiden pencurian dengan kekerasan kawasan SCBD.",Kriminal
"Tolong, ada yang pingsan tidak sadarkan diri di warung kelontong kawasan SCBD.",Medis
"Tolong, ada korsleting listrik di di Mall Grand Indonesia, korbannya di dalam gedung perkantoran.",Kebakaran
"Tolong, ada yang pingsan tidak sadarkan diri di gedung perkantoran di Jalan Sudirman.",Medis
"Cepat, butuh ambulans! Ada korban kesulitan bernapas di Apartemen Green Pramuka.",Medis
Waspada! Terjadi perampokan toko dekat Monas.,Kriminal
Seseorang butuh pertolongan medis karena kesulitan bernapas di Mall Grand Indonesia.,Medis
Darurat! Api melalap gedung perkantoran di Mall Grand Indonesia.,Kebakaran
Lapor! Terjadi korsleting listrik dekat Monas.,Kebakaran
Lapor! Terjadi ledakan tabung gas di Apartemen Green Pramuka.,Kebakaran
"Saya baru saja melihat tawuran warga di rumah tinggal di Stasiun Manggarai, pelakunya kabur.",Kriminal
Darurat! Api melalap gedung perkantoran di Jalan Sudirman.,Kebakaran
Waspada! Terjadi pencurian dengan kekerasan kawasan SCBD.,Kriminal
Lapor! Terjadi ledakan tabung gas di Mall Grand Indonesia.,Kebakaran
"Tolong, ada yang serangan jantung di mobil sedan silver di Stasiun Manggarai.",Medis
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri di Stasiun Manggarai.",Medis
"Tolong, ada kebakaran hebat di di Stasiun Manggarai, korbannya di dalam rumah tinggal.",Kebakaran
"Tolong, ada kebakaran hebat di di Mall Grand Indonesia, korbannya di dalam warung kelontong.",Kebakaran
Lapor! Terjadi kebakaran hebat di Mall Grand Indonesia.,Kebakaran
Waspada! Terjadi penjambretan di Mall Grand Indonesia.,Kriminal
"Lapor, ada insiden pencurian dengan kekerasan di Jalan Sudirman.",Kriminal
Lapor! Terjadi kebakaran hebat dekat Monas.,Kebakaran
Waspada! Terjadi perampokan toko di Jalan Sudirman.,Kriminal
"Tolong, ada yang pendarahan hebat di gedung perkantoran di Stasiun Manggarai.",Medis
"Saya baru saja melihat penjambretan di warung kelontong kawasan SCBD, pelakunya kabur.",Kriminal
"Tolong, ada yang pingsan tidak sadarkan diri di mobil sedan silver dekat Monas.",Medis
"Tolong, ada kebakaran hebat di dekat Monas, korbannya di dalam rumah tinggal.",Kebakaran
"Lapor, ada insiden tawuran warga di Stasiun Manggarai.",Kriminal
"Cepat, butuh ambulans! Ada korban kecelakaan motor di Apartemen Green Pramuka.",Medis
Lapor! Terjadi kebakaran hebat di Apartemen Green Pramuka.,Kebakaran
"Saya baru saja melihat perampokan toko di rumah tinggal di Apartemen Green Pramuka, pelakunya kabur.",Kriminal
"Lapor, ada insiden perampokan toko kawasan SCBD.",Kriminal
"Lapor, ada insiden tawuran warga dekat Monas.",Kriminal
"Saya baru saja melihat pencurian dengan kekerasan di mobil sedan silver kawasan SCBD, pelakunya kabur.",Kriminal
"Tolong, ada yang pendarahan hebat di rumah tinggal di Mall Grand Indonesia.",Medis
"Lapor, ada insiden penjambretan di Mall Grand Indonesia.",Kriminal
"Lapor, ada insiden perampokan toko di Stasiun Manggarai.",Kriminal
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri di Mall Grand Indonesia.",Medis
Seseorang butuh pertolongan medis karena pendarahan hebat di Apartemen Green Pramuka.,Medis
Seseorang butuh pertolongan medis karena kesulitan bernapas kawasan SCBD.,Medis
"Lapor, ada insiden tawuran warga di Stasiun Manggarai.",Kriminal
Seseorang butuh pertolongan medis karena kesulitan bernapas di Mall Grand Indonesia.,Medis
"Saya baru saja melihat pencurian dengan kekerasan di mobil sedan silver di Mall Grand Indonesia, pelakunya kabur.",Kriminal
Seseorang butuh pertolongan medis karena serangan jantung di Stasiun Manggarai.,Medis
"Lapor, ada insiden perampokan toko di Stasiun Manggarai.",Kriminal
"Tolong, ada korsleting listrik di di Mall Grand Indonesia, korbannya di dalam mobil sedan silver.",Kebakaran
"Lapor, ada insiden tawuran warga di Stasiun Manggarai.",Kriminal
"Saya baru saja melihat perampokan toko di gedung perkantoran di Mall Grand Indonesia, pelakunya kabur.",Kriminal
"Tolong, ada ledakan tabung gas di di Jalan Sudirman, korbannya di dalam gedung perkantoran.",Kebakaran
"Lapor, ada insiden tawuran warga dekat Monas.",Kriminal
"Tolong, ada yang kesulitan bernapas di rumah tinggal di Apartemen Green Pramuka.",Medis
"Cepat, butuh ambulans! Ada korban pendarahan hebat di Apartemen Green Pramuka.",Medis
"Tolong, ada korsleting listrik di di Apartemen Green Pramuka, korbannya di dalam gedung perkantoran.",Kebakaran
"Saya baru saja melihat tawuran warga di rumah tinggal di Jalan Sudirman, pelakunya kabur.",Kriminal
Waspada! Terjadi pencurian dengan kekerasan kawasan SCBD.,Kriminal
Darurat! Api melalap mobil sedan silver kawasan SCBD.,Kebakaran
Darurat! Api melalap rumah tinggal di Stasiun Manggarai.,Kebakaran
Darurat! Api melalap mobil sedan silver kawasan SCBD.,Kebakaran
Seseorang butuh pertolongan medis karena pendarahan hebat kawasan SCBD.,Medis
"Cepat, butuh ambulans! Ada korban kecelakaan motor di Mall Grand Indonesia.",Medis
Seseorang butuh pertolongan medis karena kesulitan bernapas di Apartemen Green Pramuka.,Medis
Seseorang butuh pertolongan medis karena kecelakaan motor di Jalan Sudirman.,Medis
Darurat! Api melalap gedung perkantoran dekat Monas.,Kebakaran
"Cepat, butuh ambulans! Ada korban kesulitan bernapas di Mall Grand Indonesia.",Medis
"Cepat, butuh ambulans! Ada korban kesulitan bernapas di Jalan Sudirman.",Medis
"Tolong, ada yang pendarahan hebat di warung kelontong di Apartemen Green Pramuka.",Medis
Lapor! Terjadi asap tebal di Apartemen Green Pramuka.,Kebakaran
Seseorang butuh pertolongan medis karena kecelakaan motor di Jalan Sudirman.,Medis
Darurat! Api melalap mobil sedan silver di Jalan Sudirman.,Kebakaran
"Tolong, ada yang kecelakaan motor di warung kelontong di Jalan Sudirman.",Medis
"Lapor, ada insiden perampokan toko di Stasiun Manggarai.",Kriminal
Darurat! Api melalap rumah tinggal di Mall Grand Indonesia.,Kebakaran
"Tolong, ada asap tebal di di Mall Grand Indonesia, korbannya di dalam warung kelontong.",Kebakaran
Lapor! Terjadi asap tebal di Apartemen Green Pramuka.,Kebakaran
Darurat! Api melalap warung kelontong di Stasiun Manggarai.,Kebakaran
Lapor! Terjadi ledakan tabung gas kawasan SCBD.,Kebakaran
Darurat! Api melalap warung kelontong di Mall Grand Indonesia.,Kebakaran
"Tolong, ada yang kesulitan bernapas di warung kelontong di Stasiun Manggarai.",Medis
"Cepat, butuh ambulans! Ada korban kesulitan bernapas dekat Monas.",Medis
"Saya baru saja melihat perampokan toko di rumah tinggal di Stasiun Manggarai, pelakunya kabur.",Kriminal
"Tolong, ada yang kesulitan bernapas di mobil sedan silver dekat Monas.",Medis
Lapor! Terjadi kebakaran hebat di Mall Grand Indonesia.,Kebakaran
Waspada! Terjadi penjambretan kawasan SCBD.,Kriminal
"Lapor, ada insiden penjambretan di Stasiun Manggarai.",Kriminal
"Lapor, ada insiden pencurian dengan kekerasan dekat Monas.",Kriminal
Waspada! Terjadi tawuran warga di Apartemen Green Pramuka.,Kriminal
Seseorang butuh pertolongan medis karena serangan jantung kawasan SCBD.,Medis
"Saya baru saja melihat pencurian dengan kekerasan di rumah tinggal kawasan SCBD, pelakunya kabur.",Kriminal
"Tolong, ada kebakaran hebat di kawasan SCBD, korbannya di dalam mobil sedan silver.",Kebakaran
Seseorang butuh pertolongan medis karena kesulitan bernapas di Jalan Sudirman.,Medis
"Lapor, ada insiden penjambretan di Jalan Sudirman.",Kriminal
Waspada! Terjadi penjambretan di Stasiun Manggarai.,Kriminal
"Tolong, ada korsleting listrik di di Apartemen Green Pramuka, korbannya di dalam gedung perkantoran.",Kebakaran
"Cepat, butuh ambulans! Ada korban serangan jantung di Apartemen Green Pramuka.",Medis
Lapor! Terjadi ledakan tabung gas di Mall Grand Indonesia.,Kebakaran
"Cepat, butuh ambulans! Ada korban kesulitan bernapas dekat Monas.",Medis
Seseorang butuh pertolongan medis karena kecelakaan motor di Jalan Sudirman.,Medis
"Cepat, butuh ambulans! Ada korban kesulitan bernapas di Apartemen Green Pramuka.",Medis
Lapor! Terjadi asap tebal kawasan SCBD.,Kebakaran
"Cepat, butuh ambulans! Ada korban kesulitan bernapas di Apartemen Green Pramuka.",Medis
"Tolong, ada yang pendarahan hebat di rumah tinggal di Apartemen Green Pramuka.",Medis
"Saya baru saja melihat perampokan toko di mobil sedan silver di Stasiun Manggarai, pelakunya kabur.",Kriminal
Darurat! Api melalap warung kelontong di Stasiun Manggarai.,Kebakaran
"Tolong, ada ledakan tabung gas di di Stasiun Manggarai, korbannya di dalam mobil sedan silver.",Kebakaran
"Cepat, butuh ambulans! Ada korban serangan jantung di Mall Grand Indonesia.",Medis
Waspada! Terjadi penjambretan kawasan SCBD.,Kriminal
"Cepat, butuh ambulans! Ada korban serangan jantung di Stasiun Manggarai.",Medis
Lapor! Terjadi kebakaran hebat kawasan SCBD.,Kebakaran
"Tolong, ada korsleting listrik di kawasan SCBD, korbannya di dalam mobil sedan silver.",Kebakaran
"Lapor, ada insiden perampokan toko di Apartemen Green Pramuka.",Kriminal
"Saya baru saja melihat pencurian dengan kekerasan di mobil sedan silver di Apartemen Green Pramuka, pelakunya kabur.",Kriminal
Waspada! Terjadi tawuran warga dekat Monas.,Kriminal
"Tolong, ada yang serangan jantung di rumah tinggal di Jalan Sudirman.",Medis
"Lapor, ada insiden tawuran warga di Apartemen Green Pramuka.",Kriminal
"Tolong, ada kebakaran hebat di di Stasiun Manggarai, korbannya di dalam rumah tinggal.",Kebakaran
Lapor! Terjadi korsleting listrik di Mall Grand Indonesia.,Kebakaran
Waspada! Terjadi perampokan toko dekat Monas.,Kriminal
Darurat! Api melalap warung kelontong kawasan SCBD.,Kebakaran
"Saya baru saja melihat perampokan toko di warung kelontong dekat Monas, pelakunya kabur.",Kriminal
"Cepat, butuh ambulans! Ada korban pendarahan hebat di Apartemen Green Pramuka.",Medis
"Saya baru saja melihat tawuran warga di rumah tinggal di Stasiun Manggarai, pelakunya kabur.",Kriminal
Seseorang butuh pertolongan medis karena pingsan tidak sadarkan diri di Stasiun Manggarai.,Medis
Lapor! Terjadi asap tebal di Mall Grand Indonesia.,Kebakaran
"Cepat, butuh ambulans! Ada korban kecelakaan motor di Mall Grand Indonesia.",Medis
"Saya baru saja melihat pencurian dengan kekerasan di mobil sedan silver di Jalan Sudirman, pelakunya kabur.",Kriminal
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri di Apartemen Green Pramuka.",Medis
Darurat! Api melalap mobil sedan silver di Stasiun Manggarai.,Kebakaran
"Tolong, ada kebakaran hebat di di Mall Grand Indonesia, korbannya di dalam mobil sedan silver.",Kebakaran
"Tolong, ada kebakaran hebat di di Mall Grand Indonesia, korbannya di dalam warung kelontong.",Kebakaran
"Tolong, ada yang pingsan tidak sadarkan diri di mobil sedan silver kawasan SCBD.",Medis
"Cepat, butuh ambulans! Ada korban serangan jantung kawasan SCBD.",Medis
"Lapor, ada insiden perampokan toko di Jalan Sudirman.",Kriminal
"Tolong, ada yang pingsan tidak sadarkan diri di mobil sedan silver di Apartemen Green Pramuka.",Medis
Seseorang butuh pertolongan medis karena pingsan tidak sadarkan diri di Mall Grand Indonesia.,Medis
"Tolong, ada ledakan tabung gas di dekat Monas, korbannya di dalam gedung perkantoran.",Kebakaran
"Saya baru saja melihat penjambretan di warung kelontong di Stasiun Manggarai, pelakunya kabur.",Kriminal
Darurat! Api melalap gedung perkantoran di Jalan Sudirman.,Kebakaran
Lapor! Terjadi ledakan tabung gas di Stasiun Manggarai.,Kebakaran
"Tolong, ada yang serangan jantung di mobil sedan silver di Stasiun Manggarai.",Medis
Waspada! Terjadi pencurian dengan kekerasan di Stasiun Manggarai.,Kriminal
"Lapor, ada insiden penjambretan dekat Monas.",Kriminal
Lapor! Terjadi korsleting listrik di Jalan Sudirman.,Kebakaran
Darurat! Api melalap rumah tinggal di Jalan Sudirman.,Kebakaran
Darurat! Api melalap warung kelontong di Jalan Sudirman.,Kebakaran
"Saya baru saja melihat tawuran warga di warung kelontong di Jalan Sudirman, pelakunya kabur.",Kriminal
Seseorang butuh pertolongan medis karena pendarahan hebat di Mall Grand Indonesia.,Medis
"Tolong, ada ledakan tabung gas di di Mall Grand Indonesia, korbannya di dalam warung kelontong.",Kebakaran
Lapor! Terjadi korsleting listrik di Mall Grand Indonesia.,Kebakaran
"Saya baru saja melihat perampokan toko di mobil sedan silver dekat Monas, pelakunya kabur.",Kriminal
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri di Jalan Sudirman.",Medis
"Saya baru saja melihat perampokan toko di warung kelontong di Mall Grand Indonesia, pelakunya kabur.",Kriminal
"Cepat, butuh ambulans! Ada korban serangan jantung kawasan SCBD.",Medis
Darurat! Api melalap mobil sedan silver dekat Monas.,Kebakaran
Waspada! Terjadi penjambretan di Stasiun Manggarai.,Kriminal
Lapor! Terjadi asap tebal di Jalan Sudirman.,Kebakaran
Waspada! Terjadi pencurian dengan kekerasan kawasan SCBD.,Kriminal
Darurat! Api melalap gedung perkantoran di Mall Grand Indonesia.,Kebakaran
"Cepat, butuh ambulans! Ada korban serangan jantung di Jalan Sudirman.",Medis
Waspada! Terjadi tawuran warga di Apartemen Green Pramuka.,Kriminal
"Lapor, ada insiden perampokan toko di Stasiun Manggarai.",Kriminal
Darurat! Api melalap gedung perkantoran kawasan SCBD.,Kebakaran
"Saya baru saja melihat tawuran warga di rumah tinggal di Apartemen Green Pramuka, pelakunya kabur.",Kriminal
"Tolong, ada yang kesulitan bernapas di warung kelontong kawasan SCBD.",Medis
Darurat! Api melalap mobil sedan silver di Apartemen Green Pramuka.,Kebakaran
"Cepat, butuh ambulans! Ada korban pendarahan hebat di Jalan Sudirman.",Medis
Waspada! Terjadi pencurian dengan kekerasan dekat Monas.,Kriminal
Darurat! Api melalap warung kelontong di Stasiun Manggarai.,Kebakaran
"Tolong, ada korsleting listrik di di Stasiun Manggarai, korbannya di dalam warung kelontong.",Kebakaran
Seseorang butuh pertolongan medis karena pingsan tidak sadarkan diri di Jalan Sudirman.,Medis
Lapor! Terjadi korsleting listrik dekat Monas.,Kebakaran
"Saya baru saja melihat perampokan toko di warung kelontong di Apartemen Green Pramuka, pelakunya kabur.",Kriminal
Waspada! Terjadi pencurian dengan kekerasan di Apartemen Green Pramuka.,Kriminal
"Tolong, ada yang pingsan tidak sadarkan diri di mobil sedan silver di Apartemen Green Pramuka.",Medis
Darurat! Api melalap mobil sedan silver kawasan SCBD.,Kebakaran
"Saya baru saja melihat penjambretan di mobil sedan silver kawasan SCBD, pelakunya kabur.",Kriminal
"Tolong, ada ledakan tabung gas di di Apartemen Green Pramuka, korbannya di dalam mobil sedan silver.",Kebakaran
Darurat! Api melalap rumah tinggal di Mall Grand Indonesia.,Kebakaran
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri dekat Monas.",Medis
"Cepat, butuh ambulans! Ada korban pendarahan hebat di Mall Grand Indonesia.",Medis
"Tolong, ada asap tebal di dekat Monas, korbannya di dalam mobil sedan silver.",Kebakaran
Waspada! Terjadi tawuran warga dekat Monas.,Kriminal
Lapor! Terjadi korsleting listrik kawasan SCBD.,Kebakaran
Seseorang butuh pertolongan medis karena pendarahan hebat di Apartemen Green Pramuka.,Medis
Lapor! Terjadi korsleting listrik dekat Monas.,Kebakaran
"Lapor, ada insiden perampokan toko di Mall Grand Indonesia.",Kriminal
Lapor! Terjadi ledakan tabung gas di Jalan Sudirman.,Kebakaran
"Saya baru saja melihat pencurian dengan kekerasan di mobil sedan silver di Jalan Sudirman, pelakunya kabur.",Kriminal
Lapor! Terjadi kebakaran hebat di Apartemen Green Pramuka.,Kebakaran
Waspada! Terjadi penjambretan di Mall Grand Indonesia.,Kriminal
"Tolong, ada kebakaran hebat di di Mall Grand Indonesia, korbannya di dalam rumah tinggal.",Kebakaran
Waspada! Terjadi perampokan toko di Stasiun Manggarai.,Kriminal
"Tolong, ada kebakaran hebat di di Jalan Sudirman, korbannya di dalam mobil sedan silver.",Kebakaran
"Saya baru saja melihat perampokan toko di gedung perkantoran kawasan SCBD, pelakunya kabur.",Kriminal
"Saya baru saja melihat penjambretan di mobil sedan silver di Stasiun Manggarai, pelakunya kabur.",Kriminal
"Saya baru saja melihat penjambretan di rumah tinggal dekat Monas, pelakunya kabur.",Kriminal
Darurat! Api melalap gedung perkantoran kawasan SCBD.,Kebakaran
"Cepat, butuh ambulans! Ada korban kesulitan bernapas di Apartemen Green Pramuka.",Medis
"Lapor, ada insiden perampokan toko kawasan SCBD.",Kriminal
"Tolong, ada yang kecelakaan motor di mobil sedan silver di Apartemen Green Pramuka.",Medis
"Tolong, ada yang serangan jantung di warung kelontong di Stasiun Manggarai.",Medis
"Saya baru saja melihat penjambretan di warung kelontong dekat Monas, pelakunya kabur.",Kriminal
"Tolong, ada yang pendarahan hebat di rumah tinggal di Jalan Sudirman.",Medis
Waspada! Terjadi tawuran warga kawasan SCBD.,Kriminal
Lapor! Terjadi korsleting listrik di Jalan Sudirman.,Kebakaran
Waspada! Terjadi pencurian dengan kekerasan di Stasiun Manggarai.,Kriminal
Darurat! Api melalap rumah tinggal di Jalan Sudirman.,Kebakaran
"Tolong, ada asap tebal di di Stasiun Manggarai, korbannya di dalam gedung perkantoran.",Kebakaran
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri di Stasiun Manggarai.",Medis
Darurat! Api melalap rumah tinggal di Mall Grand Indonesia.,Kebakaran
"Tolong, ada korsleting listrik di di Apartemen Green Pramuka, korbannya di dalam rumah tinggal.",Kebakaran
"Tolong, ada yang pendarahan hebat di warung kelontong di Mall Grand Indonesia.",Medis
"Saya baru saja melihat penjambretan di warung kelontong di Apartemen Green Pramuka, pelakunya kabur.",Kriminal
"Tolong, ada yang serangan jantung di gedung perkantoran di Jalan Sudirman.",Medis
Darurat! Api melalap rumah tinggal dekat Monas.,Kebakaran
Darurat! Api melalap warung kelontong dekat Monas.,Kebakaran
Darurat! Api melalap rumah tinggal dekat Monas.,Kebakaran
"Saya baru saja melihat tawuran warga di warung kelontong di Stasiun Manggarai, pelakunya kabur.",Kriminal
"Cepat, butuh ambulans! Ada korban kesulitan bernapas di Mall Grand Indonesia.",Medis
"Lapor, ada insiden tawuran warga dekat Monas.",Kriminal
Seseorang butuh pertolongan medis karena kesulitan bernapas di Mall Grand Indonesia.,Medis
"Lapor, ada insiden tawuran warga di Jalan Sudirman.",Kriminal
Lapor! Terjadi kebakaran hebat di Stasiun Manggarai.,Kebakaran
Darurat! Api melalap gedung perkantoran di Apartemen Green Pramuka.,Kebakaran
Waspada! Terjadi tawuran warga di Apartemen Green Pramuka.,Kriminal
Lapor! Terjadi ledakan tabung gas di Stasiun Manggarai.,Kebakaran
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri di Jalan Sudirman.",Medis
"Saya baru saja melihat pencurian dengan kekerasan di gedung perkantoran dekat Monas, pelakunya kabur.",Kriminal
Seseorang butuh pertolongan medis karena kesulitan bernapas di Jalan Sudirman.,Medis
